"state_abbreviation","state","district","state_district","district_id","i","candidate_name","party","primary_votes","primary_percent","general_votes","general_percent","TotalPop","discuss","discussOppose","reducetax","reducetaxOppose","CO2limits","CO2limitsOppose","localofficials","localofficialsOppose","governor","governorOppose","congress","congressOppose","president","presidentOppose","corporations","corporationsOppose","citizens","citizensOppose","regulate","regulateOppose","supportRPS","supportRPSOppose","drilloffshore","drilloffshoreOppose","drillANWR","drillANWROppose","fundrenewables","fundrenewablesOppose","rebates","rebatesOppose","mediaweekly","mediaweeklyOppose","gwvoteimp","gwvoteimpOppose","teachGW","teachGWOppose","priority","priorityOppose","happening","happeningOppose","human","humanOppose","consensus","consensusOppose","worried","worriedOppose","personal","personalOppose","harmUS","harmUSOppose","devharm","devharmOppose","futuregen","futuregenOppose","harmplants","harmplantsOppose","timing","timingOppose","affectweather","affectweatherOppose","lcv_score"
"FL","Florida","03","Florida_03","FL 03","(I)","Yoho, Ted","R","54848",0.762667556593804,"176616",0.576242430570056,578214,31.05,69.067,64.831,34.228,62.743,36.706,51.63,15.323,50.761,15.164,55.848,19.905,58.664,12.776,66.508,10.806,57.702,13.043,72.583,26.815,61.23,38.506,49.483,50.408,33.213,65.51,85.06,14.211,80.079,19.823,23.745,75.915,53.126,35.785,76.315,23.445,46.71,25.917,65.422,17.962,50.579,36.555,49.32,26.774,57.368,42.861,37.368,53.711,56.37,33.197,61.172,25.868,66.69,22.572,66.907,23.926,49.919,50.081,59.331,6.189,7
"FL","Florida","04","Florida_04","FL 04","(I)","Rutherford, John H.","R","Unopposed",1,"248420",0.651595151724988,616202,31.919,68.153,61.429,37.84,59.678,40.454,49.358,16.692,47.407,17.16,53.499,23.21,53.99,14.095,63.999,11.366,57.226,13.081,71.364,28.243,61.622,37.988,55.17,44.577,38.011,60.48,84.693,14.814,80.067,20.03,24.603,74.849,52.453,37.38,72.645,27.141,42.219,29.392,68.195,15.345,49.005,37.602,51.626,28.426,57.294,42.933,36.742,54.529,56.724,33.84,59.473,27.732,65.029,23.855,65.147,25.755,50.163,49.837,59.278,6.73,17
"FL","Florida","05","Florida_05","FL 05","(I)","Lawson, Al","D","53990",0.602741867059638,"180527",0.667812197124953,561607,31.507,68.563,72.409,26.308,68.571,31.132,58.259,12.953,56.413,13.112,61.683,15.228,62.357,9.614,68.354,10.518,61.483,10.725,75.553,23.201,64.983,34.151,50.202,48.317,32.837,65.786,86.123,12.899,81.014,17.976,20.215,78.963,57.438,31.455,81.316,18.044,56.327,18.827,71.424,9.317,53.306,36.068,53.345,21.49,64.287,35.911,46.79,40.593,61.63,24.076,66.196,18.387,69.88,16.63,71.232,16.782,59.373,40.627,65.626,4.797,97
"FL","Florida","06","Florida_06","FL 06",NA,"Waltz, Michael","R","32916",0.424268203085728,"187891",0.563139706697757,618196,33.333,66.537,65.82,33.306,66.625,33.006,52.192,16.028,51.828,15.777,57.347,20.477,57.786,13.028,66.859,11.209,60.399,12.704,73.293,25.805,63.003,36.13,53.182,45.881,35.716,62.99,85.618,13.539,80.255,19.318,23.953,75.589,50.957,37.79,78.079,21.899,48.7,24.933,70.865,14.231,54.133,36.121,50.92,28.64,58.226,41.998,39.027,51.497,55.699,34.144,59.603,27.395,67.458,21.549,68.776,22.316,52.203,47.797,60.217,6.514,34
"FL","Florida","07","Florida_07","FL 07","(I)","Murphy, Stephanie","D","49060",0.86212350191544,"183113",0.576919199238811,607878,35.309,64.824,67.822,31.014,67.62,31.99,56.618,14.56,56.322,14.064,59.365,18.05,59.838,12.296,67.725,10.834,62.215,11.9,74.816,24.053,62.167,37.392,49.412,49.247,31.642,67.934,86.572,12.546,81.376,17.989,26.561,73.221,56.637,32.462,79.279,20.374,47.479,23.396,70.844,13.703,53.559,33.059,55.165,23.611,61.001,39.281,41.016,53.221,60.688,32.246,66.309,24.604,72.06,20.281,71.708,21.128,53.089,46.911,63.322,5.974,97
"FL","Florida","08","Florida_08","FL 08","(I)","Posey, Bill","R","Unopposed",1,"218112",0.604981041641819,607135,33.12,66.607,65.119,34.069,65.987,33.564,50.428,16.036,49.691,15.727,55.453,20.464,56.953,12.596,66.407,10.028,59.519,12.634,72.062,27.196,64.185,33.666,50.562,49.033,34.798,64.634,85.303,13.922,80.866,18.324,24.911,74.643,53.403,36.682,77.564,22.444,47.851,25.388,69.949,13.214,53.492,35.11,52.004,28.406,57.667,42.08,40.169,50.061,56.633,32.874,60.648,25.802,67.635,19.835,68.015,20.807,51.399,48.601,60.359,6.581,14
"FL","Florida","09","Florida_09","FL 09","(I)","Soto, Darren","D","36586",0.66382407373807,"172172",0.580217498997429,638243,31.789,68.309,69.584,29.262,69.54,28.78,59.263,13.684,57.611,12.793,62.782,16.58,63.347,10.309,72.579,8.882,65.97,10.594,74.727,23.54,65.97,32.228,46.311,51.672,32.945,65.451,85.474,13.378,82.2,16.573,21.771,77.47,55.277,33.45,79.226,20.327,54.982,20.125,74.103,9.493,55.92,33.485,51.944,24.243,65.375,34.764,45.493,43.683,63.372,25.783,66.977,19.152,71.241,15.943,73.469,15.768,57.854,42.146,65.355,5.099,97
"FL","Florida","10","Florida_10","FL 10","(I)","Demings, Val","D","73601",0.749997452488918,"Unopposed",1,614463,34.148,65.747,71.653,27.051,71.608,28.089,61.508,12.295,60.13,11.794,63.976,14.631,65.52,9.252,72.405,8.871,66.485,10.2,76.187,22.54,68.36,30.047,41.607,55.192,30.034,68.585,87.11,11.729,83.464,15.518,22.911,76.358,57.845,30.575,79.703,19.497,56.831,18.084,72.796,9.922,57.498,32.146,55.488,20.591,64.843,35.359,47.264,41.663,63.901,24.244,67.697,18.845,72.661,15.224,74.926,13.939,61.069,38.931,66.183,4.93,97
"FL","Florida","11","Florida_11","FL 11","(I)","Webster, Daniel","R","Unopposed",1,"239395",0.651404330813647,636007,30.836,69.13,64.325,34.945,63.505,35.653,51.338,16.567,49.579,15.546,57.551,20.02,57.743,12.357,68.267,10.211,59.907,12.256,72.853,26.304,62.875,35.88,55.648,44.252,38.721,60.134,84.518,14.984,81.391,17.934,23.959,75.434,49.957,39.357,74.892,25.097,47.44,26.047,68.39,14.74,52.719,38.705,47.391,31.577,57.608,42.561,37.345,54.861,55.662,34.315,59.363,27.525,65.779,22.287,66.109,23.472,52.025,47.975,59.661,6.93,14
"FL","Florida","12","Florida_12","FL 12","(I)","Bilirakis, Gus Michael","R","Unopposed",1,"194564",0.580930257555581,611826,33.308,66.71,64.972,34.067,66.732,33.093,53.236,15.892,52.749,15.304,59.37,19.788,60.356,12.255,70.315,10.345,63.8,12.526,73.676,25.71,63.34,35.181,46.809,53.11,34.687,64.051,86.132,13.073,81.57,17.332,25.986,73.843,53.713,35.783,77.352,22.164,50.393,25.439,74.058,12.51,58.134,33.687,57.186,25.871,59.439,40.799,40.442,50.422,57.174,33.52,61.274,26.911,69.268,20.295,68.674,21.546,53.157,46.843,62.678,6.51,21
"FL","Florida","13","Florida_13","FL 13","(I)","Crist, Charlie","D","Unopposed",1,"182717",0.5764470566708,602241,37.378,62.269,68.013,30.833,71.103,28.727,57.008,14.169,56.527,13.259,63.913,16.376,64.561,11.142,71.068,9.424,64.286,11.779,76.074,22.71,64.785,33.916,42.823,57.112,29.902,69.389,87.121,12.052,82.668,16.644,27.719,72.142,57.677,31.753,80.186,19.565,57.794,21.256,72.146,11.523,58.509,31.46,62.73,21.638,64.513,35.357,44.91,45.718,62.72,28.472,67.897,21.789,72.284,17.616,73.243,16.946,59.818,40.182,66.287,6.225,97
"FL","Florida","14","Florida_14","FL 14","(I)","Castor, Kathy","D","Unopposed",1,"Unopposed",1,599441,37.237,62.672,69.053,29.612,72.891,26.918,61.009,12.501,60.614,11.477,67.129,14.489,65.238,9.636,72.734,8.632,66.157,10.756,77.326,21.193,68.879,29.438,42.968,55.995,28.128,71.088,87.671,11.033,83.833,15.039,25.924,73.748,62.085,28.43,79.637,19.788,58.423,17.82,76.296,9.759,63.607,27.67,63.4,19.708,68.342,31.848,49.269,42.007,67.193,23.408,71.709,17.216,75.588,14.694,76.626,14.391,59.595,40.405,69.679,4.963,97
"FL","Florida","15","Florida_15","FL 15",NA,"Spano, Ross","R","26904",0.441353062764526,"151380",0.530168247341804,598759,31.827,68.22,66.034,32.822,67.346,32.32,56.859,14.402,55.755,13.897,60.655,17.889,61.305,10.999,68.83,8.972,60.868,11.642,73.995,24.794,61.874,37.714,48.512,50.605,32.355,66.698,85.583,13.485,81.512,17.677,23.414,76.209,54.38,34.261,77.948,21.811,51.676,22.919,70.1,13.433,54.119,36.437,50.781,25.18,62.736,37.433,41.416,47.865,59.584,29.757,63.81,22.759,69.053,19.034,69.77,18.529,54.59,45.41,61.796,6.178,10
"FL","Florida","16","Florida_16","FL 16","(I)","Buchanan, Vern","R","Unopposed",1,"197483",0.545614539185403,648048,34.06,65.847,64.531,34.551,65.312,34.521,53.89,15.403,53.075,15.534,59.446,20.309,59.726,13.156,69.565,10.349,62.062,12.345,73.768,25.098,62.73,36.355,50.137,49.079,31.826,67.958,85.757,13.366,81.04,18.458,24.772,74.859,55.393,34.61,76.218,23.567,47.761,26.619,71.633,11.881,55.934,35.147,54.37,26.48,59.653,40.567,40.231,50.591,59.695,30.612,63.618,23.982,69.003,19.751,70.452,20.202,55.204,44.796,61.373,6.286,31
"FL","Florida","17","Florida_17","FL 17",NA,"Steube, Greg","R","48983",0.623717116153513,"193326",0.62258791704238,627692,28.955,71.15,63.33,35.927,62.054,37.71,48.657,16.874,48.332,17.454,53.805,22.304,56.299,14.899,65.967,10.95,59.825,12.8,70.522,28.575,59.763,38.959,52.478,47.037,36.302,62.706,83.762,15.387,78.834,20.733,22.856,76.546,51.484,37.839,73.74,26.107,45.999,27.019,64.718,14.647,50.678,38.09,48.192,30.304,55.576,44.614,35.896,54.3,53.787,35.068,57.946,27.607,63.031,24.41,64.159,25.349,52.617,47.383,56.3,6.632,7
"FL","Florida","18","Florida_18","FL 18","(I)","Mast, Brian","R","55527",0.776481939841423,"185905",0.543011867659387,616835,32.317,67.758,65.501,33.637,65.974,33.82,52.83,14.969,52.314,14.898,59.121,18.573,59.266,11.413,69.676,9.415,62.043,11.446,73.048,26.086,61.736,37.172,47.284,52.874,33.094,66.171,85.239,14.083,81.686,17.901,23.704,75.814,53.344,34.851,75.58,24.079,47.824,22.57,71.26,11.542,55.023,35.11,52.22,26.403,59.719,40.482,39.848,49.095,56.74,30.417,60.464,24.235,68.08,19.046,69.445,18.469,53.459,46.541,61.835,6.002,38
"FL","Florida","19","Florida_19","FL 19","(I)","Rooney, Francis","R","Unopposed",1,"211465",0.622675622116152,661544,34.19,65.759,64.95,34.187,64.76,35.018,51.499,15.879,50.318,15.501,55.508,21.286,57.915,13.237,66.587,10.914,60.009,12.369,71.648,27.766,63.474,35.634,51.701,48.057,35.57,63.362,85.372,14.085,80.387,19.422,26.55,73.047,52.613,36.413,76.029,23.678,47.073,28.108,65.508,14.263,50.925,36.531,50.805,28.767,59.816,40.352,37.886,53.206,55.629,34.503,60.299,26.847,66.418,22.273,66.767,23.008,52.621,47.379,59.332,6.66,59
"FL","Florida","20","Florida_20","FL 20","(I)","Hastings, Alcee L.","D","52628",0.737861899754644,"202659",0.999186486806295,589828,33.191,66.612,77.178,21.482,73.646,25.906,62.825,10.861,61.171,10.669,65.354,11.517,66.96,6.815,70.442,9.294,66.565,9.414,77.538,20.539,69.38,28.418,43.319,53.441,29.373,68.86,87.038,11.524,82.61,16.23,17.846,81.166,60.956,27.87,85.242,14.151,62.975,12.196,77.723,5.289,59.409,31.04,56.77,17.57,69.591,30.139,53.995,31.508,68.619,16.509,70.777,12.484,73.82,11.343,76.688,10.014,65.474,34.526,67.806,3.739,93
"FL","Florida","21","Florida_21","FL 21","(I)","Frankel, Lois","D","Unopposed",1,"Unopposed",1,618829,35.609,64.436,71.283,27.728,72.441,27.118,58.483,13.714,56.722,12.778,64.379,15.977,64.936,9.823,72.999,8.342,67.183,10.084,75.469,23.784,66.841,32.115,48.875,51.06,31.719,67.456,87.109,12.021,83.64,15.8,24.751,74.617,56.444,32.953,81.718,18.044,55.131,19.997,76.752,8.056,58.17,33.242,61.173,22.69,66.56,33.574,44.95,43.041,60.784,27.097,65.036,20.546,71.812,15.632,72.264,16.027,57.889,42.111,65.509,5.378,96
"FL","Florida","22","Florida_22","FL 22","(I)","Deutch, Ted","D","54236",0.865325398471529,"184634",0.620236963481287,610326,37.138,62.927,69.232,29.547,72.615,27.165,59.35,13.598,58.695,12.965,64.2,16.427,64.313,10.794,70.916,10.071,65.251,11.791,76.272,22.473,67.376,31.341,44.248,54.164,31.077,67.641,87.537,11.528,83.288,15.898,28.048,71.74,58.828,30.72,80.63,18.936,58.012,20.837,72.961,12.023,58.93,30.894,61.905,20.513,65.519,34.736,44.425,48.322,62.431,29.362,67.832,22.497,73.613,18.292,74.199,18.307,57.91,42.09,66.915,5.693,97
"FL","Florida","23","Florida_23","FL 23","(I)","Wasserman Schultz, Debbie","D","Unopposed",1,"161611",0.584771643400418,597546,36.509,63.512,71.838,26.968,72.073,27.595,59.416,13.136,58.855,12.504,65.532,14.941,65.244,9.602,71.824,9.169,66.643,10.162,76.639,22.395,69.023,28.951,45.299,53.17,31.051,68.192,87.481,11.397,84.137,15.01,24.683,74.741,59.971,30.507,81.135,18.339,58.023,19.082,76.551,9.389,60.672,29.602,58.821,22.913,68.809,31.32,48.323,42.199,64.382,25.355,68.834,18.975,73.819,15.538,74.717,15.872,61.63,38.37,68.774,4.939,93
"FL","Florida","24","Florida_24","FL 24","(I)","Wilson, Frederica S.","D","66202",0.836665571367187,"Unopposed",1,586516,35.461,64.485,78.557,20.053,77.702,21.621,66.554,10.268,65.027,9.786,69.925,10.129,71.146,6.329,73.768,8.362,70.391,8.451,78.775,19.441,72.45,25.436,42.578,55.513,28.773,69.668,87.42,11.117,83.902,14.95,19.398,79.688,64.26,25.493,87.026,12.412,67.152,10.504,78.839,5.116,64.377,27.003,58.422,16.416,72.761,27.325,56.866,29.692,70.642,15.411,72.514,11.542,75.982,9.568,78.228,9.56,67.981,32.019,71.527,3.525,93
"FL","Florida","25","Florida_25","FL 25","(I)","Diaz-Balart, Mario","R","Unopposed",1,"128672",0.604533815687472,612973,35.615,64.167,71.77,27.118,70.924,28.254,58.76,13.614,57.592,12.692,62.633,15.873,63.494,10.539,70.636,10.644,65.827,10.777,74.442,23.992,65.369,32.968,44.88,54.214,32.041,66.557,85.032,14.001,80.907,18.418,22.671,76.555,58.46,30.906,81.105,18.53,57.198,18.041,74.526,9.638,61.81,29.936,57.421,22.252,67.954,32.008,51.006,38.318,65.921,22.664,67.825,18.109,72.576,14.892,74.292,15.011,60.09,39.91,63.853,5.14,28
"FL","Florida","26","Florida_26","FL 26",NA,"Mucarsel-Powell, Debbie","D","21002",0.634501510574018,"119797",0.508746151396114,603376,35.882,64.033,72.904,25.78,72.006,27.402,61.934,12.891,60.309,12.405,65.101,14.724,66.157,9.853,70.066,10.982,66.132,10.657,75.519,22.871,65.233,33.283,45.837,52.204,30.87,67.375,85.869,12.884,81.597,17.579,22.908,76.483,58.663,29.646,82.746,16.788,60.982,16.27,75.327,9.543,61.025,29.927,54.545,21.599,69.27,30.776,51.167,37.577,66.813,20.984,70.046,16.842,74.047,13.563,74.389,14.804,60.218,39.782,67.314,4.842,97
"FL","Florida","27","Florida_27","FL 27",NA,"Shalala, Donna","D","14158",0.319111051006379,"130743",0.517617761871204,619204,40.58,59.335,74.105,24.699,75.894,23.661,62.394,11.602,62.343,10.394,67.288,13.026,69.382,7.923,74.97,8.083,70.553,9.37,78.485,19.917,69.135,29.28,40.648,58.396,26.976,71.446,87.56,11.336,83.031,16.244,28.007,71.647,62.363,27.003,84.15,15.531,62.972,14.762,79.223,7.126,66.456,25.664,63.67,18.43,73.233,26.82,53.802,36.172,69.873,19.589,73.328,14.696,76.636,12.309,78.047,12.07,63.664,36.336,71.052,4.493,97
"GA","Georgia","01","Georgia_01","GA 01","(I)","Carter, Earl L. ""Buddy""","R","35552",1,"144741",0.577386579863812,557983,30.059,69.833,66.51,32.488,64.995,34.726,52.272,14.89,51.496,16.112,57.15,18.864,59.624,11.439,67.138,11.352,60.923,12.461,71.955,27.239,59.922,39.24,54.81,44.264,37.425,61.966,84.397,14.902,80.103,19.101,21.593,77.851,52.006,36.247,76.584,23.194,48.542,24.442,69.911,12.003,50.635,37.804,47.924,26.278,59.104,40.611,39.888,47.829,57.556,29.242,57.598,24.418,63.956,21.087,64.048,20.286,54.995,45.005,60.553,6.347,17
"GA","Georgia","02","Georgia_02","GA 02","(I)","Bishop, Sanford","D","42855",1,"136699",0.59649344812389,514169,29.429,70.658,71.622,27.235,68.382,31.083,57.252,12.682,54.398,13.123,59.882,14.911,62.702,8.732,69.916,9.457,64.088,10.506,74.007,24.445,62.84,36.578,54.159,45.156,34.866,63.678,84.956,14.195,80.961,18.243,17.921,81.402,56.309,32.803,81.302,18.045,54.761,17.493,71.824,7.644,54.777,35.135,46.783,23.205,63.85,36.218,45.663,38.209,60.489,22.785,58.798,17.778,64.813,16.083,65.772,15.497,57.861,42.139,61.908,4.923,93
"GA","Georgia","03","Georgia_03","GA 03","(I)","Ferguson, Drew","R","43381",0.743729534193969,"191996",0.655263032156338,551199,27.946,72.132,61.393,37.764,58.16,41.288,50.133,15.867,48.138,16.633,53.536,21.446,54.93,14.157,65.871,10.729,58.706,12.604,69.778,28.909,58.456,40.132,58.482,39.865,40.14,58.388,83.342,15.833,79.542,19.584,20.294,79.066,47.947,39.998,73.19,26.829,42.535,28.171,63.019,14.493,48.611,39.976,45.365,27.884,54.933,45.223,35.946,49.711,52.94,31.61,53.735,25.458,59.42,22.659,60.434,21.56,48.093,51.907,56.013,6.266,7
"GA","Georgia","04","Georgia_04","GA 04","(I)","Johnson, Henry C. ""Hank,"" Jr.","D","55060",0.79767044302147,"227717",0.78846919590456,556686,36.235,63.732,77.128,21.498,75.597,24.139,65.356,10.229,64.23,10.117,70.005,11.033,70.95,6.649,75.791,8.498,70.575,8.95,79.436,19.041,70.645,28.22,50.501,48.289,31.827,65.901,88.539,10.162,84.606,14.348,19.899,79.423,63.545,26.502,85.917,13.375,64.021,13.238,79.891,5.595,61.215,30.375,64.33,15.886,70.489,29.653,53.612,34.087,68.091,18.522,69.263,14.061,74.88,11.121,75.102,11.495,66.492,33.508,73.633,3.799,97
"GA","Georgia","05","Georgia_05","GA 05","(I)","Lewis, John R.","D","80860",1,"275406",1,602025,40.968,59.003,77.79,20.876,78.093,21.994,68.46,9.059,66.994,8.852,72.822,9.895,73.804,6.059,77.4,7.365,72.692,7.955,81.876,16.679,72.519,27.022,43.456,55.859,26.613,72.305,89.461,9.366,85.245,13.989,24.561,74.922,68.897,22.316,86.469,13.03,68.974,10.913,82.39,4.142,69.21,23.123,68.368,13.484,76.21,23.952,56.077,32.361,72.327,16.022,73.376,11.402,77.568,8.753,78.132,8.589,68.775,31.225,74.572,3.488,90
"GA","Georgia","06","Georgia_06","GA 06",NA,"McBath, Lucy","D","15138",0.36265631737818,"160139",0.505119357036514,562768,38.243,61.96,68.2,30.889,69.663,30.454,55.069,13.79,55.304,13.857,62.388,17.634,63.635,11.044,72.445,8.927,65.866,10.87,75.709,23.677,67.353,32.222,50.338,50.116,32.53,66.999,87.414,12.124,82.844,16.921,29.839,69.98,59.245,31.267,78.892,20.909,52.377,25.541,75.674,11.33,60.448,30.131,60.032,24.149,64.934,35.272,42.931,50.644,60.783,31.5,64.059,23.611,70.972,19.125,70.413,19.428,56.031,43.969,67.3,5.644,97
"GA","Georgia","07","Georgia_07","GA 07","(I)","Woodall, Rob","R","30450",0.719297002338601,"140430",0.500747037701335,576110,35.326,64.658,69.458,29.564,69.062,30.534,53.224,14.726,51.447,15.969,56.59,18.463,59.166,11.285,66.585,11.735,62.696,12.401,73.714,25.598,62.759,37.224,56.327,43.457,35.231,64.103,85.912,13.574,80.734,19.168,24.087,75.298,56.02,33.635,79.045,20.777,51.047,23.287,68.654,11.287,57.498,31.611,53.017,26.212,62.541,37.563,44.309,45.475,59.795,29.018,61.556,22.224,67.299,19.739,67.069,20.923,56.784,43.216,63.02,5.771,10
"GA","Georgia","08","Georgia_08","GA 08","(I)","Scott, Austin","R","41467",1,"198152",0.997161778618732,536438,26.893,73.119,60.762,38.31,58.771,41.092,50.511,15.995,49.018,17.206,54.716,21.268,56.745,14.094,66.277,11.451,59.232,12.883,69.709,29.411,58.694,41.091,58.905,40.735,40.799,58.141,82.795,16.514,79.121,20.429,18.14,81.261,49.494,38.891,72.857,27.049,45.544,26.872,65.211,12.484,49.83,38.712,45.2,28.015,53.106,47.067,36.927,47.177,52.281,31.823,54.013,24.729,58.189,22.959,59.715,22.811,50.254,49.746,55.448,6.163,7
"GA","Georgia","09","Georgia_09","GA 09","(I)","Collins, Doug","R","63646",1,"224661",0.795040661339524,567180,29.518,70.499,61.206,38.088,59.203,40.447,46.398,17.542,45.227,17.43,49.637,22.904,53.969,13.923,63.119,12.341,55.856,14.157,69.953,29.328,59.77,39.278,58.615,41.856,39.933,59.679,83.449,16.144,79.041,20.181,24.102,75.319,50.486,39.137,69.547,30.097,43.04,32.485,61.084,19.055,48.34,41.02,44.761,31.256,54.022,46.098,36.398,53.087,51.248,37.468,51.545,31.714,59.942,26.927,58.774,26.698,49.004,50.996,54.265,7.95,7
"GA","Georgia","10","Georgia_10","GA 10","(I)","Hice, Jody","R","42960",0.788980716253444,"190396",0.628919682230333,566901,29.879,70.127,64.544,34.613,61.837,37.925,50.27,15.765,48.648,16.301,54.775,19.98,57.019,12.298,66.37,10.59,59.312,12.889,70.966,28,57.524,42.648,57.063,42.738,37.744,61.83,84.068,14.881,79.531,20.063,21.315,78.097,52.052,37.268,74.75,25.105,45.866,28.556,64.795,13.39,50.242,38.692,48.59,27.28,57.37,42.735,38.002,49.383,53.465,32.529,54.012,26.425,62.429,20.507,60.957,23.648,51.956,48.044,58.066,6.45,0
"GA","Georgia","11","Georgia_11","GA 11","(I)","Loudermilk, Barry","R","43309",1,"191887",0.617913956334128,575414,32.264,67.828,62.112,37.03,60.749,39.558,52.083,15.261,50.113,16.277,53.795,21.74,57.864,13.702,66.78,11.434,59.973,12.618,71.42,28.187,62.522,36.923,57.497,42.062,36.801,62.418,84.591,14.988,81.321,18.15,24.36,75.329,51.001,37.051,73.601,26.211,42.931,27.99,65.36,16.965,52.583,35.774,52.247,26.537,57.467,42.725,38.308,51.348,54.585,34.219,57.62,26.052,64.275,22.137,63.662,22.993,48.872,51.128,60.357,6.261,7
"GA","Georgia","12","Georgia_12","GA 12","(I)","Allen, Rick W.","R","37776",0.759866436014,"148986",0.594773485779985,547594,29.353,70.649,66.47,32.45,62.107,37.75,53.29,14.881,51.835,15.473,55.944,19.505,59.802,11.678,66.468,11.374,60.353,12.453,72.076,27.102,62.462,36.864,59.753,39.974,37.921,61.646,84.312,15.109,80.027,19.595,19.8,79.623,53.178,36.019,76.981,22.768,49.264,25.792,66.619,11.906,49.024,39.336,46.571,26.048,58.931,41.181,39.608,44.511,53.899,29.605,56.622,21.854,62.386,18.496,61.906,19.573,55.936,44.064,59.465,6.229,7
"GA","Georgia","13","Georgia_13","GA 13","(I)","Scott, David","D","56216",1,"223157",0.761601993106037,547769,32.39,67.741,75.838,22.77,70.696,29.163,61.449,11.156,59.728,11.618,64.602,12.445,66.078,7.47,71.281,8.911,66.697,9.767,77.154,21.021,66.196,32.136,51.006,46.279,32.821,65.994,86.74,12.154,82.219,16.876,18.432,80.804,60.352,29.209,84.106,15.049,59.271,14.833,73.746,6.712,56.008,33.021,55.397,18.578,64.151,36.035,49.465,36.427,62.845,21.393,64.009,16.109,70.157,13.821,69.924,14.581,62.082,37.918,69.516,4.219,97
"GA","Georgia","14","Georgia_14","GA 14","(I)","Graves, Tom","R","38270",1,"175743",0.765018021625951,533985,27.468,72.537,60.597,38.654,56.129,43.066,44.907,18.242,43.37,20.171,48.748,24.645,52.193,15.539,63.004,12.559,55.231,14.619,68.768,30.367,53.921,46.075,63.163,36.165,43.617,55.352,82.18,17.264,77.853,21.678,21.113,78.358,47.523,41.021,71.642,28.515,41.17,33.369,61.319,19.707,45.28,42.471,43.278,32.838,50.115,50.021,34.125,53.36,49.37,36.721,50.236,30.557,56.796,28.758,55.981,29.648,45.968,54.032,52.829,7.795,7
"HI","Hawaii","01","Hawaii_01","HI 01",NA,"Case, Ed","D","47491",0.400075818204793,"134650",0.730955263257895,567230,44.6,55.297,74.718,24.438,79.717,19.443,58.617,13.086,55.874,14.147,67.233,15.079,66.531,8.83,75.241,8.899,68.647,9.043,78.429,20.047,70.852,27.639,47.303,51.742,25.711,71.821,88.07,10.536,84.049,14.572,27.648,71.213,63.182,25.822,82.918,16.823,64.264,15.819,80.454,6.6,66.317,23.74,67.347,18.405,72.666,27.368,53.778,38.683,71.488,20.966,75.952,15.782,79.909,12.605,80.473,13.03,65.779,34.221,73.037,4.163,97
"HI","Hawaii","02","Hawaii_02","HI 02","(I)","Gabbard, Tulsi","D","94665",0.83549565769964,"153271",0.773623189868818,548299,44.233,55.321,72.334,26.771,76.431,23.066,58.086,14.362,54.944,15.811,65.68,16.535,65.687,9.443,74.742,9.496,69.016,9.812,76.751,21.714,71.39,26.533,44.348,55.071,27.058,72.098,87.484,11.214,84.15,14.36,26.936,71.616,62.183,27.074,81.611,18.071,64.254,15.651,79.14,7.546,66.313,25.081,66.547,19.376,71.988,27.989,50.141,41.103,69.041,22.705,74.95,15.23,79.1,12.066,79.499,12.195,64.459,35.541,70.359,4.662,72
"ID","Idaho","01","Idaho_01","ID 01",NA,"Fulcher, Russ","R","42790",0.431207360454687,"197719",0.627541903519547,650544,34.3,65.378,59.055,39.953,62.83,36.296,42.819,18.888,42.919,19.854,49.091,25.464,49.988,16.598,62.829,11.666,55.324,12.7,69.065,30.762,58.323,41.356,49.63,48.703,32.532,66.877,83.941,15.522,79.533,19.83,28.728,70.701,48.372,40.452,72.954,27.489,40.374,35.256,62.084,21.687,46.756,39.835,47.201,33.659,52.903,46.809,34.161,59.321,53.137,39.683,57.136,31.905,62.676,29.037,65.049,27.213,46.533,53.467,57.035,7.793,93
"ID","Idaho","02","Idaho_02","ID 02","(I)","Simpson, Mike","R","72243",1,"170274",0.606702178831662,598087,37.797,61.847,60.405,38.565,65.597,33.941,47.262,17.583,46.935,17.347,53.855,22.219,53.896,13.214,67.945,9.473,62.909,11.104,71.465,27.829,61.622,37.554,50.196,48.866,30.395,69.836,85.379,13.953,81.563,17.635,29.702,69.516,51.019,38.746,76.628,24.086,45.899,27.397,72.783,12.257,56.788,33.209,55.969,30.115,62.137,37.886,38.682,53.422,59.886,31.298,62.675,24.592,67.134,21.382,68.593,21.217,55.375,44.625,62.451,7.196,97
"IL","Illinois","01","Illinois_01","IL 01","(I)","Rush, Bobby L.","D","104114",1,"189560",0.735056323555073,546004,35.863,63.843,78.189,21.011,76.658,22.327,60.828,9.031,62.387,8.597,65.862,10.002,67.746,5.966,74.644,6.628,68.268,7.175,81.404,16.972,72.592,25.896,46.597,50.974,25.719,73.344,89.08,9.67,84.377,14.587,21.618,77.697,64.214,26.177,84.407,15.157,58.867,11.74,77.304,5.973,64.046,26.682,58.43,16.753,68.32,31.409,51.596,35.158,68.807,17.776,70.45,13.685,75.348,10.255,77.365,10.252,65.937,34.063,72.454,3.436,93
